County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Grand Forks,North Dakota,5,6.2,0.868,0.044,0.029,0.047,0.029,0.03,69451,12.6
Grant,North Dakota,0,4,0.956,0.001,0.003,0.015,0.021,0.02,2274,10.2
Griggs,North Dakota,2,5,0.983,0.004,0.002,0.013,0.007,0.004,2231,5.8
Hettinger,North Dakota,0,4,0.929,0.006,0.004,0.028,0.036,0.026,2499,10.4
Kidder,North Dakota,0,4.5,0.972,0.005,0.006,0.047,0.008,0.009,2480,5.5
LaMoure,North Dakota,1,5.2,0.98,0.004,0.001,0.017,0.006,0.009,4046,13.3
Logan,North Dakota,0,4.6,0.966,0.004,0.004,0.026,0.008,0.017,1850,14
McHenry,North Dakota,0,4.5,0.869,0.034,0.017,0.041,0.056,0.024,762062,10.6
McIntosh,North Dakota,2,4.7,0.966,0.008,0.01,0.026,0.008,0.009,2497,10.7
McKenzie,North Dakota,1,1.8,0.842,0.021,0.01,0.097,0.091,0.036,15024,14.3
McLean,North Dakota,3,4.1,0.896,0.005,0.003,0.026,0.076,0.021,9450,11.7
Mercer,North Dakota,2,2.2,0.942,0.007,0.005,0.03,0.029,0.018,8187,10.4
Morton,North Dakota,4,4.6,0.922,0.013,0.005,0.041,0.038,0.023,31364,11.6
Mountrail,North Dakota,4,4.1,0.869,0.034,0.017,0.041,0.056,0.024,762062,12.9
Nelson,North Dakota,0,5,0.95,0.009,0.002,0.046,0.018,0.02,2879,10
Oliver,North Dakota,1,3.2,0.952,0.004,0.003,0.02,0.031,0.011,1959,6.4
Pembina,North Dakota,5,5.9,0.938,0.007,0.004,0.034,0.021,0.03,6801,14.6
Pierce,North Dakota,2,4.8,0.922,0.009,0.002,0.02,0.052,0.015,3975,9.3
Ramsey,North Dakota,3,5.1,0.837,0.013,0.012,0.032,0.105,0.033,11519,9
Ransom,North Dakota,1,5.4,0.955,0.008,0.011,0.025,0.009,0.017,5218,7
Renville,North Dakota,0,4.4,0.966,0.004,0.003,0.028,0.009,0.018,2327,11.4
Richland,North Dakota,4,6,0.932,0.011,0.006,0.036,0.031,0.019,16177,8.1
Rolette,North Dakota,3,5.2,0.184,0.005,0.002,0.021,0.78,0.029,14176,14.4
Sargent,North Dakota,1,5.3,0.935,0.018,0.009,0.034,0.015,0.022,3898,9.2
Sheridan,North Dakota,1,4.3,0.96,0.003,0.003,0.014,0.015,0.019,1315,4.3
Sioux,North Dakota,0,4.3,0.136,0.007,0.002,0.051,0.814,0.04,4230,21.2
Slope,North Dakota,0,3.8,0.953,0.011,0,0.041,0.029,0.007,750,10.6
Stark,North Dakota,4,4,0.917,0.03,0.016,0.057,0.017,0.021,31489,13.9
Steele,North Dakota,0,5.2,0.968,0.006,0.002,0.022,0.013,0.011,1890,10.2
Stutsman,North Dakota,2,5.1,0.937,0.018,0.009,0.026,0.018,0.018,20704,12.1
Towner,North Dakota,1,5.1,0.929,0.004,0.001,0.027,0.051,0.015,2189,20.7
Traill,North Dakota,3,5.8,0.948,0.009,0.006,0.037,0.015,0.022,8036,10.8
Walsh,North Dakota,4,5.8,0.943,0.007,0.009,0.12,0.023,0.019,10641,16.3
Ward,North Dakota,9,4.6,0.874,0.048,0.018,0.064,0.026,0.034,67641,14.9
Wells,North Dakota,2,4.7,0.973,0.004,0.003,0.012,0.006,0.015,3834,9.6
Williams,North Dakota,7,2.3,0.858,0.051,0.009,0.09,0.043,0.039,37589,10.9
Arkansas,Arkansas,5,8.3,0.7,0.251,0.008,0.034,0.003,0.004,13695,8.9
Ashley,Arkansas,0,8.1,0.689,0.243,0.003,0.057,0.008,0,15464,9.1
Baxter,Arkansas,4,7.85,0.943,0.005,0.005,0.026,0.008,0.013,34235,10.8
Benton,Arkansas,6,6.1,0.726,0.021,0.042,0.171,0.019,0.021,201039,9.9
Boone,Arkansas,5,9.1,0.937,0.005,0.006,0.026,0.009,0.017,28887,11.3
Bradley,Arkansas,0,8.5,0.551,0.274,0.005,0.159,0.016,-0.005,8286,7.9
Carlhoun,Arkansas,0,8.59,0.601,0.134,0.059,0.185,0.013,0.008,4282,7
Carroll,Arkansas,1,7.6,0.784,0.008,0.02,0.152,0.014,0.022,22158,9.5
Chicot,Arkansas,0,8.3,0.385,0.546,0.007,0.059,0.005,-0.002,8111,9.1
Clark,Arkansas,4,8.7,0.683,0.246,0.007,0.048,0.006,0.01,17877,9.2
Clay,Arkansas,0,7.27,0.949,0.009,0.002,0.022,0.006,0.012,11619,10.1
Cleburne,Arkansas,2,5.75,0.945,0.005,0.005,0.025,0.007,0.013,20228,12.1
Cleveland,Arkansas,1,8.41,0.843,0.115,0.002,0.025,0.005,0.01,6264,5.7
Columbia,Arkansas,0,8.8,0.595,0.356,0.009,0.028,0.006,0.006,18666,9
Conway,Arkansas,1,12.1,0.814,0.114,0.004,0.04,0.009,0.019,16179,12.3
Craighead,Arkansas,5,7.81,0.749,0.168,0.013,0.053,0.005,0.012,81468,10.9
Crawford,Arkansas,4,8.55,0.836,0.017,0.015,0.081,0.026,0.025,47905,10.2
Critttenden,Arkansas,1,8.8,0.409,0.535,0.006,0.028,0.004,0.018,35266,14.5
Cross,Arkansas,6,8.29,0.723,0.232,0.008,0.02,0.004,0.013,12770,12.1
Dallas,Arkansas,2,6.2,0.532,0.105,0.003,0.039,0.007,0.314,5647,6.8
Desha,Arkansas,2,8.41,0.445,0.479,0.007,0.064,0.005,0,8562,8.2
Drew,Arkansas,0,8.38,0.661,0.281,0.007,0.038,0.005,0.008,14389,8
Faulkner,Arkansas,3,7.97,0.799,0.122,0.013,0.042,0.007,0.017,96026,13
Franklin,Arkansas,2,8.69,0.916,0.009,0.002,0.032,0.016,0.025,13736,9.4
Fulton,Arkansas,0,7.28,0.945,0.007,0.003,0.017,0.008,0.02,9748,13.9
Garland,Arkansas,9,8.65,0.817,0.088,0.009,0.059,0.008,0.019,79213,6
Grant,Arkansas,1,7.66,0.923,0.027,0.004,0.03,0.005,0.011,14107,9.3
Greene,Arkansas,1,7.39,0.926,0.018,0.004,0.03,0.006,0.016,34222,10.8
Hempstead,Arkansas,0,8.71,0.539,0.305,0.005,0.133,0.007,0.011,16132,9.3
HotSpring,Arkansas,10,9.1,0.823,0.113,0.004,0.037,0.006,0.017,26787,5.3
Howard,Arkansas,1,8.63,0.633,0.211,0.006,0.132,0.014,0.004,9869,6.8
Independence,Arkansas,1,6.8,0.88,0.025,0.009,0.066,0.008,0.012,28556,10.7
Izard,Arkansas,0,6.7,0.927,0.022,0.005,0.025,0.008,0.013,11146,8.8
Jackson,Arkansas,2,7.9,0.768,0.174,0.005,0.03,0.007,0.016,13430,10.8
Jefferson,Arkansas,2,8.92,0.383,0.574,0.009,0.022,0.004,0.008,53061,10.4
