County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
McKenzie,North Dakota,1,1.8,84.2,2.1,1,9.7,9.1,3.6,15024,14.3
McLean,North Dakota,3,4.1,89.6,0.5,0.3,2.6,7.6,2.1,9450,11.7
Mercer,North Dakota,2,2.2,94.2,0.7,0.5,3,2.9,1.8,8187,10.4
Morton,North Dakota,4,4.6,92.2,1.3,0.5,4.1,3.8,2.3,31364,11.6
Mountrail,North Dakota,4,4.1,86.9,3.4,1.7,4.1,5.6,2.4,762062,12.9
Nelson,North Dakota,0,5,95,0.9,0.2,4.6,1.8,2,2879,10
Oliver,North Dakota,1,3.2,95.2,0.4,0.3,2,3.1,1.1,1959,6.4
Pembina,North Dakota,5,5.9,93.8,0.7,0.4,3.4,2.1,3,6801,14.6
Pierce,North Dakota,2,4.8,92.2,0.9,0.2,2,5.2,1.5,3975,9.3
Ramsey,North Dakota,3,5.1,83.7,1.3,1.2,3.2,10.5,3.3,11519,9
Ransom,North Dakota,1,5.4,95.5,0.8,1.1,2.5,0.9,1.7,5218,7
Renville,North Dakota,0,4.4,96.6,0.4,0.3,2.8,0.9,1.8,2327,11.4
Richland,North Dakota,4,6,93.2,1.1,0.6,3.6,3.1,1.9,16177,8.1
Rolette,North Dakota,3,5.2,18.4,0.5,0.2,2.1,78,2.9,14176,14.4
Sargent,North Dakota,1,5.3,93.5,1.8,0.9,3.4,1.5,2.2,3898,9.2
Sheridan,North Dakota,1,4.3,96,0.3,0.3,1.4,1.5,1.9,1315,4.3
Sioux,North Dakota,0,4.3,13.6,0.7,0.2,5.1,81.4,4,4230,21.2
Slope,North Dakota,0,3.8,95.3,1.1,0,4.1,2.9,0.7,750,10.6
Stark,North Dakota,4,4,91.7,3,1.6,5.7,1.7,2.1,31489,13.9
Steele,North Dakota,0,5.2,96.8,0.6,0.2,2.2,1.3,1.1,1890,10.2
Stutsman,North Dakota,2,5.1,93.7,1.8,0.9,2.6,1.8,1.8,20704,12.1
Towner,North Dakota,1,5.1,92.9,0.4,0.1,2.7,5.1,1.5,2189,20.7
Traill,North Dakota,3,5.8,94.8,0.9,0.6,3.7,1.5,2.2,8036,10.8
